Type,Question
where was lake,"Where was Lake Bell nominated for Best First Screenplay, in what year, and for what film?"
what is the,What is the result of SK Kilda vs. Collingwood match in 1962 VFL season?
what is the,What is the difference of RAM and storage between Nokia X and Nokia X+?
who were the,"Who were the directors of the film, which Riaz played, Dui Duari (2000), Daruchini Dip (2007), and Ki Jadu Korila (2008)?"
how was the,How was the audience at the Portland Timbers–Seattle Sounders rivalry?
what are the,What are the names of the two aircraft operated by Eastern Airlines?
how did bulgaria,How did Bulgaria do in the 2017 Balkans Cup?
which 1998 films,Which 1998 films did Thomas Newman score?
how much did,How much did George Duncan lead by and who were the other people in the top four.
when and where,When and where was Moss' album Sub Templum released on?
in what videos did,In what videos did Wood appear in 2005?
what percent of,What percent of voters turned out to pass the 1997 Hungarian NATO membership referendum?
how many total,How many total appearances and goals did Hakan Şükür rack up while playing for the Turkey national team?
what is the,What is the population breakdown of minorities within the student body?
how long ago,How long ago did the IFFO1 gene in the Australian ghostshark diverge from humans?
what does the,What does the Ap Lei Chau Estate consist?
when did episodes,When did episodes 82 and 83 of My Little Television first air?
where were the,Where were the games in Argentina played?
how did the,How did the Princeton Tigers perform against Michigan and Wichita State from 1964 to 1965?
which player costs,Which player costs the most in the 2000-01 Luton Town F.C. season?
how many applications,How many applications did University of Miami receive in 2018 and how much was the acceptance rate?
what happened to,What happened to the major league home run record after 1998?
how long did,How long did Nathaniel Parker play the role of Jack Weatherill in This House?
when and where,When and where did Kim Robertson achiever her 51.60 record on the 400m?
what aircraft did,With what aircraft did Songbird Airways provide charter service?
what did tatyana,What did Tatyana Lebedeva achieve in 2004?
what did aditi,"What did Aditi Govitrikar win in 1996, 2000 and 2001?"
who were the,Who were the women's winners in 2001 and 2002?
who are the,"Who are the President, First Vice-President and Second Vice-President of the International Criminal Court?"
when did forsyth,When did Forsyth Campbell make his debut for Scotland and what was the result of the match?
who won the,Who won the 1967 Isle of Man TT and what was their top speed?
what was the,What was the performance of Muskegon's Doris Sams Page in the season 1949?
what was the,What was the income and expenses of the National Rifle Association's NRA-PVF in 2014 and did it increase or decrease?
did speedway grand,Did Speedway Grand Prix of Denmark stay in the same city and stadium from 2015 to 2019?
how is the,"How is the iota symbol represented in Unicode, both its capitalized and small forms?"
what were the,What were the victory records of Italy on 12 March 2011 and 3 February 2013?
did michelle kwan,Did Michelle Kwan win any medals in 1998 and 2002?
which team is,Which team is the winner of the 1922 Big Ten Conference football season?
when was dudley,When was Dudley Erwin a Government Whip?
what were the,What were the final scores from each judge for the Manny Pacquiao vs. Timothy Bradley fight?
when and where,When and where was the event Ford 200 held?
what are the,"What are the changes happened to Belleville, Dearborn, and Fordson in 2018?"
did the first,"In the 1999 NCAA Rifle Championships, how did the first team do compared to the second?"
what were the,What were the four most recent boats obtained by the Nigerian Navy?
who are the,Who are the shareholders of Air Greenland and which is the largest shareholder?
when did furlong,When did Furlong appear as the character Shane Casey?
who schools were,Who schools were the winner and runner up?
what were mili,"What were Mili's songs in Coke Studio Season 2, and who were they composed by?"
how many games,How many games did Ben O'Connor play in his career and when was his last game?
what roles has,What roles has Laura played?
what rides did,What rides did Hoffman's Playland open in the 1960s?
what is the,What is the displacement and torque of the Ascari KZ1?
who were the,Who were the titleholders and their placements from 2014 and 2015?
which production did,Which production did Colella work in for which she won an award for in 2011?
which folios contained,Which folios contained Hemming's Cartulary in the manuscript?
which sports can,Which sports can be held at Hamar Olympic Amphitheatre and Hamar Olympic Hall?
what cities were,What cities were the semi-finals and final of the 2009 Eurovision Song Contest held in?
what is the,What is the result of 2012 primary election for Mayor of Sacramento?
which numbers are,Which numbers are associated with BR?
how did max,How did Max Hall perform in 2017?
what is the,What is the Greek version of the game show Wipeout?
how much was,How much was the 6 year contract that James Lebron and Chris Bosh signed with the Miami Heat in the 2010-11 season?
how was the,How was the 1916 Cumberland vs. Georgia Tech Football game?
what exact action,In August of 1988 and August of 1990 what exact  action was taken by the UN and why?
what turbofans does,"What turbofans does the Cessna CitationJet/M2 use, and what is its maximum range?"
when did steven,"When did Steven Ma collaborate for A Journey Called Life, and who with?"
which sailing classes,Which sailing classes were chosen to be used in events at the 2002 ISAF World Sailing Games?
other,Was the Phantom of the Opera one of the longest running West End musicals?
when did james,When did James Sullivan serve as City Manager?
what were the,What were the results for Hamas and Fatah in the elections in 2006?
what years ad,During what years AD was the Fasti Potentini?
where was nils,Where was Nils-Eric Johansson playing at during 1999-2000?
what did hippolyte,What did Hippolyte Fizeau contribute to the measurement of the speed of light?
what is the,What is the World championship record for the event 200 metres for women?
how many completed,How many completed goals and total games did Nikolay Dimitrov earn over his career with Litex Lovech?
how was the,How was the Confessional series released in October 1989?
how good is,How good is Barry Buccaneers in Men's tennis?
what was the,What was the total damage done by the Ernst Kals on other ships?
who recieved the,Who recieved the Knight's Cross of the Iron Cross?
how many older,How many older universities exist based on year of establishment in Germany and what are they?
which drivers with,Which drivers with Williams-Honda qualified?
which film did,Which film did Ivan Luengo act in and was led by Roger Villarroya?
when did ucla,When did UCLA defeat Tennessee?
how large is,How large is the Nilgiri Biosphere Reserve?
what kind of,What kind of engines and first-class seating are found on the Ilyushin Il-96 400?
who led all,"Who led all players 2006 Pro Bowl fan balloting, by how many votes from the second position player and which team did he represent?"
how much memory,How much memory and storage does the second generation Chromecast have?
in what categories was,In what categories was the ML 86X an improvement from the ML 868?
what was the,What was the population change in Shapinsay from 1991 to 2001?
what are the,What are the names of players and the number of picks that was drafted in 2009 respectively?
what athletes on,What athletes on the Refugee Olympic Team are from the Democratic Republic of Congo and what were their host countries?
how does south,How does South Korea rank in comparison to other countries in different categories of gender inequality?
which conference did,For which conference did the Gannon University and Mercyhurst College leave for the Great Lakes Intercollegiate Athletic Conference?
how big is,How big is Yuet Wu Villa and when was it built?
how did han,How did Han Yueshuang do in the Women's 1000 m event?
what was the,What was the total revenue of the Piedmont train in 2016 compared to its previous year?
what altitude are,At what altitude are Site 2's located?
in which group did,In which group did Mechanicsburg High School Marching Band hold the records and when did those happen?
which were the,"Which were the coaches of the Washington Huskies football between 1917 and 1920 included, and what were their records?"
when were leyla,When were Leyla Erbil's novels Karanlığın Günü (The Day of Darkness) and Mektup Aşkları (Love Letters) published respectively?
which team won,"Which team won more championships, United or Liverpool?"
what is the,What is the change of the tallest building in 1974?
which singles did,Which singles did Lian Ross release in 2005 and 2009?
did pollara cobb,Did Pollara Cobb improve in the 100 metres event after the preliminaries?
what were the,What were the circumstances of William Edward Phillips's first tenure as governor of Penang?
when were raffaello,When were Raffaello MPLM's first and third launches? What are the corresponding missions and orbiters?
what itu t,What ITU-T Number is used for Attribute types and object classes?
what were ben,"In 2007, what were Ben Utecht's statistics in terms of receptions, yards and touchdowns?"
who were the,Who were the second and third picks and what teams were they drafted by?
what are the,What are the models and peak power that the VW Corrado debuted with in 1989?
how did bethel,How did Bethel do in 2007 for the team UCLA?
which uta 70,"Which UTA 70 Class trailer cars were rebuilt as DBSO, and when were they rebuilt, respectively?"
how many viewers,How many viewers in the UK watched each part of The Debt when they were first aired?
which companies own,"Which companies own stations WFRB-FM 105.3, WRQE 106.1, and WCBC-FM 107.1?"
what is the,What is the change of Peruvian-born population from 2010 to 2011 in Italy?
what did the,What did the Ravens decided to do with their selections in 2018?
who was in,"Who was in the first and second positions in the 2018 Santiago ePrix, and what was the difference between their times?"
what was thomas,"What was Thomas Huyck's role in the founding of Jesus College, Oxford?"
who were the,Who were the caliphal governors of Sind from 711-717 and what happened to them?
what series did,What series did Kaye feature in during 1962?
what were the,What were the prime movers and power outputs of the E8 and E9 models?
in what production and,In what production and at what theatre did Felicity Jones act in 2007?
what were the,What were the names and positions of the players who joined Schalke in May 2017?
what gma film,What GMA film did Sam play in 2010?
when did william,"When did William & Mary Tribe compete in two NCAA championships, and what were the results?"
when did tim,When did Tim Tebow win the trophy?
what are number,What are number-one Billboard Christian albums by Jeremy Camp?
what routes does,"What routes does UCAT provide service to on the E, S, X, Z, and LINK routes?"
who are the,Who are the 2016-2017 Slovak First Football League teams?
what is malaysia,What is Malaysia's Human Development Index?
who came in,"Who came in first and second in the 2017 UCI World Tour, and what was the points difference between the two?"
which country has,Which country has more peaks?
how was game,How was Game of Games aired in Australia?
when was it,"When was ""It Never Rains in Southern California"" released?"
what film did,What film did Denise Di Novi direct in 2017？
which film did,"In 2014, which film did Avantika Mishra star in?"
how many surviving,How many surviving Avro Vulcans aircraft are still kept in taxiable condition?
what position did,What position did Bruno Bruins have in the Third Rutte Cabinet?
which theatre play,"After finishing which theatre play for a year, which show did Mientus appear in at the Mark Taper Forum?"
how much of,How much of the total prize money did the winner of the 2016 FFA Cup receive?
what s jonathan,What's Jonathan Chimier's record in the 60 metres?
who was the,"Who was the first person to break Jim Ryun's mile record, and when and where did it take place?"
how successful was,How successful was Ted Hewitt in 1995 as a songwriter?
is the b75,Is the B75 locomative rare in the fact that it serves Consolidated Rail Leasing?
how has the,How has the United States done against the International team overall in the President's Cup?
what was the,What was the new 100 m record as of 1988?
who replaced general,"Who replaced General Jehangir Karamat, and what year as the Pakistan Ambassador to the US?"
what achievements do,What achievements do Edwin Valero have?
which players joined,Which players joined in August 2018?
what was the,"What was the final percentage of ""For"" votes and percentage turnout for the 1970 Senegalese prime ministerial referendum?"
what happened to,What happened to most of the TB 114-class torpedo boats?
what album did,What album did Old 97's release in the year 1994 and 1995 for Idol Records?
what were the,What were the rankings and rating of The Fugitive in its first 2 years?
which episodes of,Which episodes of Sex in the City season 1 did Matthew Harrison direct?
what location were,What location were the POSVs preserved?
how did united,How did United Arab Emirates do in Group D? Which teams did they lose to and for what score?
what is the,What is the tallest building in Kuwait?
which toronto rock,Which Toronto Rock players won awards in 2002?
what were jacky,What were Jacky Jasper's guest appearances?
in what years did,In what years did Karl Platt appear on the Bulls Team?
when did kari,When did Kari Tiainen win the International Six Days Enduro (ISDE) World Trophy for Finland?
what nominations did,What nominations did Mz Kiss achieve in the year 2016?
what were the,What were the roles of Isabel de Castro during the year 1995?
what ranks of,What ranks of public office did Handhala ibn Safwan al-Kalbi hold?
which model did,Which model did Porsche make Fuchs wheels for?
what was the,"What was the opening date, length and number of stations built for each segment in Phase 2?"
what boeing planes,What Boeing planes are in the Cruzeiro fleet?
what is the,What is the most recent TV show or film that Cordingly appeared in?
what was jamar,What was Jamar Cassar nominated for in the MMI 2016?
what kink of,What kink of weapons were housed at the Rock Island Arsenal from 1979 -present?
what is the,What is the installed capacity of Akrimota Thermal Power Station?
other,Were any programs featuring James Martin shown on the channel Watch?
what was the,What was the first club to win two consecutive titles of champion in the Montenegrin First League?
what is the,What is the New Zealand national record in the hammer throw and who is the record holder?
did richard edmonds,Did Richard Edmonds win any election in 2010-15?
when did natasha,When did Natasha Dupeyrón perform her first Latin American Spanish-language voiceover and what role was it for?
is the length,"At 0° latitude, what is the length of a degree, minute, and second?"
what did maps,"What did Maps & Atlases release on June 29, 2010?"
who replaced al,Who replaced Al Coates as the General Manager of the Calgary Flames and in which year?
what years was,What years was Steve Smith basketball Coach of the Year and where was he from?
how effective was,How effective was the  Fairchild Dornier 728 family compared to the 928?
how does the,How does the first number (significant bit) affect whether the integers are positive or negative?
who were the,Who were the first nine who qualified past the semifinals in New Zealand Idol?
how was the,How was the film Dilema received at the 2012 Indonesian Movie Awards and the 2012 DetectiveFEST Moscow?
how large is,How large is Bradshaw Sound?
what role was,What role was Rohan Mehra featured in 2014?
other,"Was there an earthquake on August 31, 1961?"
how was the,How was the season for Rivera during his Milan tenure?
what were the,What were the results of the 1912 Summer Olympics – Men's 5000 meters in regard to the top two athletes?
what is striker,What is Striker?In what year was Striker released and who developed it?
did luzern participate,"Did Luzern participate in the the 1960-61 UEFA Cup Winners' Cup, and if so how did they do?"
how many of,How many of the works no. 5883 through 5891 were renumbered from 278 to 286 and allocated to the Cape Government Railway?
what were blunderbuss,What were Blunderbuss' Grammy nominations in the year 2013?
who wrote for,Who wrote for High School DxD? When did it air?
how did gooch,"How did Gooch perform, and what kind of help did he need to reach that?"
what is the,What is the trip information for Dhauli express train 12821?
how were clemson,How were Clemson’s completed passes in the 2012 Chick-fil-A Bowl?
which wrestlers have,Which wrestlers have the two longest reigns in the Mexican National Women's Championship?
what is the,What is the range of sales for the 13 issues of Fury: My War Gone By?
what years have,What years have FC Köln been either the winner or runner-up for the German football championship?
what are the,What are the options for RAM storage on the BlackBerry Bold?
who were the,"Who were the three top finishers in the 2003 Pan American Games 50 m, and what were their times?"
what was the,What was the result of the 1920 Danish constitutional referendum?
which drivers represented,"Which drivers represented Polar Motorsport and Vauxhall Motorsport in the 2000 British Rally Championship, respectively?"
who was the,Who was the Speaker of the Parliament of Nauru and how long?
where did wei,Where did Wei hold his third concert in 2015?
how bad is,How bad is the earthquake in Japan on October 25?
which two films,Which two films did Maria Casas star in 2019 and who were the films directed by?
what did dakota,What did Dakota Fanning win at the 2007 Kid's Choice Awards?
what are some,What are some of the members of the List of Living National Treasures of Japan?
what were the,What were the years where Jamir served as the Chief Minister of Nagaland?
which team beat,Which team beat Žalgiris for the first time in the history of LKL finals?
in which video games,In which video games did Leonard Nimoy voice Master Xehanort?
how many companies,"How many companies has LETA Capital made investments in, and what are those companies?"
what awards has,What awards has Los Plebes del Rancho de Ariel Camacho won?
where were all,Where were all the previous BSWW Mundialito events held?
who has the,Who has the longest and shortest reign at the NXT UK Women's Championship?
how often did,How often did Cold Mailman change record labels?
what was china,What was China's 4 x 100 m relay record?
which players scored,"Which players scored in the 2009 FA Community Shield final, and which team won?"
other,Were any WWE events held in the state of New York?
who left the,Who left the American West Conference in 1995?
how many visitor,How many visitor numbers did the Games Convention achieve in 2005 and 2007?
how did lindwall,How did Lindwall's absence in the second innings impact the game?
what were the,What were the universities that left in 2012?
is home to,Ottawa is home to which major national sports teams?
in what tv shows,In what TV shows did Mahima Makwana appear in 2009?
what stations on,What stations on the Island Line of the MTR are in the Wan Chai district?
what were the,What were the final results of the Europa SC High Jump in 1994 and 1995?
when was midnight,When was Midnight Magic Man active?
what awards did,"What awards did Blackrock win at the 1997 AWGIE Awards, and was it ever nominated for Best Film by any film association?"
which location had,Which location had the greatest amount of PoW?
what is the,What is the name and height of the tallest building in Guiyang?
which model volvo,Which model Volvo Chassis was later converted to include a bus coach and what was the original chassis?
in which states is,In which states is the eastern oyster shell known as the state shell?
how did the,"How did the flow rate change from (5, 5) to (8, 8)."
which track did,Which track did Behzad Leito release in 2011 featuring which artist?
what films were,What films were Kim Stanley nominated for best actress for in 1959 and 1961?
when did the,When did the final match take place at the 2018 Speed Chess Championship and what was the final score?
what were the,"What were the roles of Karmveer Choudhary in the tv shows ""Kuch Rang Pyar Ke Aise Bhi as Khatri"" and ""Kya Qusoor Hai Amala Ka"" ?"
what did mike,What did Mike Bercovici achieve in 2013?
who are the,Who are the owners and transmitters for channels 28 and 29?
what is elizabeth,What is Elizabeth Pelton's best record time for 100 m backstroke and 200 m backstroke?
what editions and,What editions and elevations of the Monta Rosa SkyMarathon were held between 1993 and 1995?
which film did,"In 1966, which film did François Truffaut appear in?"
what is the,What is the third-most populous city in India?
what plays did,What plays did Sian Brooke act in at the Almeida Theatre?
what were the,What were the populations of Gmima Nowy Dwor Gdanski and Krynica Morska in 2006?
what is the,What is the Nordic Cup and who is a part of it?
when was hourglass,When was Hourglass released in Europe?
what awards did,"What awards did Makuta VFX win for ""Eega""?"
what is the,What is the power efficiency of the 3.0L Duratec and I4 engines?
what is the,What is the album Ground Dweller and what did it achieve?
who were the,Who were the ninth and tenth place finishers at the 2012 Summer Olympics Men's marathon 10 kilometre?
what are wooddell,"What are Wooddell's scale values for quartz, corundum and diamond bort?"
what are the,What are the undisputed latitude and longitude ranges of Japan?
what does dna,What does DNA sequencer include?
when 1999 did,"When 1999 did Kent State pick up their first tournament win, and what was their final position the following year?"
what were the,What were the duties of Company C during the Vietnam War?
what model of,What Model of the Luxgen M7 has the highest power?
what are the,What are the power output and torque on the Koenigsegg Agera Final?
which texas league,Which Texas League stadium has the largest capacity?
what kara patrol,What Kara Patrol class patrol boats do the Togolese Armed Forces have in service?
what nominations did,What nominations did Benyamina win for Divines at the César Awards?
who is the,Who is the winningest coach in Kent State women's basketball history?
who were the,Who were the first two finishers in the 2016 Summer Olympics Men's marathon 10 kilometre race and what were their scores?
what are the,What are the locations of The Mercy Hospital?
other,Was it hard to get into Scripps College in 2017?
what is colophon,What is COLOPHON part 1 and in which page?
how would you,How would you compare the total punches landed in the bout between Gennady Golovkin and Daniel Jacobs?
what were some,What were some of the remakes of the movie Enga Chinna Rasa from 1992 to 1998?
which locomotives were,Which locomotives were transferred to JR Freight in December 2015?
how many points,How many points did Australia have in the 1950-1951 Ashes series and what was the recorded lead?
how many points,How many points did each of the finalists score?
what were the,What were the 5 models of the satellites?
what are the,"What are the two most commonly used lasers for laser resurfacing, given that it usually favors lasers with large wavelength?"
how powerful are,How powerful are the Slovenian Air Force and Air Defence?
did the netherlands,From whom did the Netherlands receive points in the 2001 Eurovision Song Contest?
what cars did,What cars did Crowe and Winkelhock drive?
what was the,What was the second deadliest earthquake of 1935?
what was the,What was the horsepower of the Ford Modular V8 in 2001?
how many ships,How many ships were sunk by U-238 and what were they named?
what is the,What is the Adelaide Oval's attendance record for cricket and for Australian rules football and when were they set?
what roles did,What roles did Lyall Brooks play after 2011?
what were the,What were the results of Rodino and Payne?
what are the,What are the lengths of the Helsinki Airport runways?
did the movie,Did the movie Estar o No Estar win any awards?
what are the,What are the characteristics of General Sherman?
what happened to,"What happened to Nathan Bock, Tom Murphy, and Karmichael Hunt after leaving the Gold Coast Suns?"
how did passion,How did Passion win in 2008?
what titanean mountains,What Titanean mountains have names that are refences to Tolkien's works?
how many receptions,"How many receptions, yards, and touchdowns did Mark Clayton complete in 2006?"
which ships did,Which ships did U-432 sink?
what were the,What were the South African Class 6K 4-6-0 locomotives renumbered to as SAR?
how did joni,"How did Joni James' 1953 version of Your Cheatin' Heart and Ray Charles' 1962 version perform on the charts, respectively?"
what change happened,What change happened 2013 for the ambassador of Malaysia to Indonesia?
where did george,"Where did George Salazar perform The Lightning Thief in 2017, and what character did he play?"
what is the,What is the total hp of E3 to E6?
how was india,How was India's performance during the 1st Test in the Test series?
which acts were,Which acts were finally decided as valid and maintained?
what were prithviraj,What were Prithviraj Sukumaran's first Telegu and Hindi movies?
what are the,What are the densities of stishovite and α-quartz?
how did pakistan,How did Pakistan score against Bangladesh?
which raf squadrons,"Which RAF squadrons were disbanded on October 15, 1945?"
how did rhine,How did Rhine-Ruhr's GDP rank in the European Union?
when did thorne,"When did Thorne and Hatfield Moors most recently build locomotives, and what class were they?"
how did syracuse,How did Syracuse and Minessota compare in rushing yards and passing yards?
who were the,Who were the top three in the 2011 Berlin marathon?
what shows did,What shows did Mohan appear in between 2013 to 2016?What are some shows did Mohan appear in between 2013 to 2016?
how did jerick,How did Jerick McKinnon perform in the 2015 season?
what values do,Between what values do CSAR Class D numbers range?
which top flight,Which top flight First Division teams were most recently in the Premier League?
what was the,What was the result of the inaugural Copa Sudamericana final?
who was the,Who was the first ruler of the Empire of Brazil and when is the reign?
which films did,Which films did Michael Goldenberg write between 1997 and 2003?
what was the,What was the percentage of voters that approved the formation of the Syrian United Arab Republic referendum in 1958 and how many voted against?
which pojamas were,Which pojamas were launched in 1764?
what cars were,What cars were made by ACEDES Holdings?
how did alaska,How did Alaska perform against Xavier in the 2000 NCAA Rifle Championships?
which role did,"In 2013, Which role did Cameron Gharaee portray the role in the series The Newsroom?"
what time did,What time did Mead set in the indoor 5000 meters at the Husky Classic?
who is the,Who is the first player to score a second century in PSL?
who won the,"Who won the African draughts championship in 2000 and 2010, and which country did they represent?"
when was braulio,When was Braulio Evaristo Carrillo Colina the Head of State of Costa Rica?
when did bosnia,When did Bosnia and Herzegovina surpass 1 million arrivals?
how fast is,How fast is the express service of Vietnam's North-South railway?
when was the,When was the last time that Robert's Rules of Order is revised?
what films did,What films did Steele Stebbins star in from 2012 to 2015?
what were the,What were the 3 most recent projects approved in Catalinas Plaza?
which club has,Which club has the most league winning players and how many total medals do those players have?
how many votes,How many votes did Ilves got compared to Rutel's in the 2006 Estonian presedential election?
how broad was,How broad was the range of frequencies of WX1-3 used by NOAA Weather Radio?
how many championship,How many championship titles have Old Firm clubs won?
what event drew,What event drew the largest crowd in Eureka Stadium history and on what date was it?
what is the,What is The National Rally party?
what s the,What's the record between South Africa and England during the Triangular Tournament?
what is the,What is the high-deductible health plan's latest maximum yearly out-of-pocket expenses?
what type of,What type of guns are on Fort Mills?
what record by,What record by Andy Roddick was accomplished in 2004?
what is the,What is the achievement of Rui Naiwei ?
which volume is,Which volume is Asterix and the Magic Carpet?
who won season,Who won Season 3 of Dança dos Famosos?
what were the,"What were the first and last place finishers in the Paris-Marseille-Paris, and what were their times?"
who holds the,Who holds the most Best Sports Movie ESPY Awards?
what is the,"What is the date, venue, and city of Hostile City Showdown (1995)?"
what were the,What were the first and last invasions?
what performances were,What performances were held in 2016?
what are some,What are some boats assigned to 29th U-boat Flotilla?
how was the,How was the performance of Bruce over his 11 season career?
what was the,What was the result of the applicants that applied for UC Davis in fall 2016?
what is the,What is the most recent quarter mile performance for the AMG-based Chrysler Crossfire SRT-6 and the Dodge Neon SRT-4?
what is the,What is the Dizengoff Street bus bombing?
what race group,"What race group had the greatest percent change in Mango, Florida?"
when was sakura,When was Sakura Nagashi made availabe on DVD single?
what happened to,What happened to Pop Evil's debut single?
what is the,What is the participation in 2007 Armenia in the Junior Eurovision Song Contest?
where are the,"Where are the surviving, airworthy Avro Lancasters located?"
what was the,What was the result of the 2009 Duel in the Pool?
what was the,What was the number of passengers of the Skopje International airport in 2000 and 2001?
did the votes,"During the 33rd Republican People's Party Ordinary Convention, how many delegates turned out and how did the votes break down?"
which brigade was,To which brigade was the German Battalion assigned to first and then reassigned to later and which dates did these both events occur on?
what is the,"What is the total amount of a Gift Aid donation, including the refund?"
which 2 teams,"Which 2 teams finished in first and second position, and with how many points?"
where to where,From where to where did Eifelsteig have stages and how many were there?
which the men,Which The Men They Couldn't Hang Album was released by Irregular Records and when?
what is the,What is the schedule for the final match of the 2010 Victoria Cup?
what were vikram,"What were Vikram's roles in 2006 and 2012, and in what languages?"
who were the,Who were the finalists in the Third Divisions North and South in the 1956-1957 English Football title?
when and on,When and on which song did Amel Larrieux do her first song collaboration with Clark Terry?
what was holman,What was Holman's party in July 1919 and how long were they in power?
what is the,What is the thrust range of the CF6-80A and to which aircraft is is applicable?
what roles is,What roles is Khan known for?
when did danko,When did Danko Sarivic lower his personal  best  and how much was it lowered?
what class of,What class of locomotives did the Diesel Traction Group have in 1987?
what albums do,What albums do Warren Hill make in 2000s?
what are verbs,What are verbs inflected for?
which athletes were,Which athletes were left by the 4:35?
who was man,Who was Man of the Tournament at the 1999 Cricket World Cup and what were his stats?
what are the,What are the sports in the 2011 Hong Kong Games?
what did karan,"What did Karan host in 2014 and 2015, and on what channels were they aired?"
where are the,Where are the stations owned by Corus Entertainment located?
who did muratt,Who did Muratt Atik play in shows with Olivier Marchal and Edgar Marie?
what works did,What works did Dawn edit in 2005 and 2009?
which locomotives are,Which locomotives are currently owned by Transport Heritage NSW?
what is the,What is the 20th Doraemon film?
how many roller,"How many roller coasters were opened at Six Flags Discovery Kingdom in 1998, and what are their names?"
who won the,"Who won the Purple Cap in 2016, and how many wickets did they take?"
did the bulls,Did the Bulls and the University of Tampa compete in different conferences?
which all weeks,Which all weeks was Tim Thomas was named First Star of the Week?
which titles did,Which titles did Goryachova appear in as Ruggiero and as Dorabella?
when has b,When has B. Narsing Rao received an International Documentary Film Festival Amsterdam award?
which nj bus,Which NJ bus routes have express service?
what happened to,What happened to The Jetix Play channels in 2010?
what was the,What was the event WEC 35: Condit vs. Miura?
when did debra,When did Debra Stephenson get the most recognition for Bad Girls?
did tp mazembe,Did  TP Mazembe or Raja Casablanca finish in second place ever in the FIFA World Cup?
how well did,How well did the song Humble do at the 2017 MTV Video Music Awards?
what is the,What is the election result of Kooyong?
which titles by,"Which titles by Author & Punisher were released through Housecore Records, and when?"
what numbers did,What numbers did MGWR use to number the Great Southern Railways?
how much has,How much has Gilchrist scored in the first test of the Australian cricket team in India during 2000–01?
who succeeded leopold,Who succeeded Leopold III the Just as ruler of Austria when did he rule?
what s the,What's the largest city in Hungary other than Budapest?
what teams won,What teams won medals in the women's synchronized swimming team event at the 2012 Summer Olympics?
which year approaches,Which year approaches came within 0.09 AU of Earth?
how was the,How was the last game of the 2006–07 NFL playoffs?
did klaus win,"On the third round of the second ballot of the 2003 Czech presidential election, how many total votes did Klaus win compared to his challenger?"
when was hartlepool,When was Hartlepool Abbey presided over by Hieu?
which routes numbered,Which routes numbered greater than 400 served Shore Transit hub?
how did india,How did India do in ODI matches hosted in Jawaharlal Nehru Stadium?
which public offices,Which public offices did Quintus Fabius Maximus Verrucosus hold?
what are the,What are the smallest fish species and what is the smallest recorded specimen for each?
what awards has,What awards has Anne Ramsey been nominated for or won?
who were the,Who were the top 2 winners of the 2000 NAPA 500?
what segments of,What segments of Line A opened between 1980 and 1990?
what was the,What was the population of Río Chico in 1991 and 2001.
which model of,Which model of the Mercedes-Benz W116 had the most cars built and which had the least cars built?
what are the,What are the two longest suspension bridges?
which airport was,Which airport was the world's busiest airport by cargo traffic?
who changed team,Who changed team in task 8?
what were the,What were the tallest buildings in China between 1968 and 1990?
what runways of,What runways of Williamsport Regional Airport are currently active?
what cars did,What cars did Sartorelli design during 1960 and 1972?
what was the,"What was the peak weekly position of Baby U!, and how many debut sales did it have?"
what years did,What years did Baxter play pedal steel for Bob Dylan?
what team did,What team did Martín Cabrera join in 2006 and what season tournaments of Primera B Nacional did the team win?
who is the,Who is the current president of the Parliament of the Canary Islands?
which range rover,"Which Range Rover models have a V6 engine, and what is their power?"
what artists covered,What artists covered the Ramones under the Selfless label?
who was the,Who was the commander in chief of the Chilean Air Force from 1991 to 1995?
how far does,How far does Bukbu Expressway go?
which teams entered,"Which teams entered the Northern Territory Football League after 1916, and when did each team enter?"
how many teams,"How many teams did the Super League, the First League, the Second League, and the Third League have?"
what is the,What is the 1973 Dyesebel film?
who were the,"Who were the top two performers, and how did they perform?"
what did the,What did the Saneyev and de Oliveira achieve in their third rounds?
what was the,What was the outcome of the Miami Dolphins in the 1972 postseason?
when did warner,When did Warner Music Italy publish Duets- Tutti cantano Cristina and its sequel?
what were the,What were the results of UEFA Euro 2004 Group B matches held at Estádio Cidade de Coimbra?
are the added,"In Crusader Kings II, what are the added start dates of The Old Gods and the Charlemagne expansion packs?"
what is the,What is the displacement and power output of the 8A?
other,Were any Derbyshire Partnership Records set in Derby?
how many of,How many of each type of local government are in the Indian state of Kerala?
what battalions are,What battalions are of type MRLS?
what record labels,What record labels did The Dead 60s release their EPs on?
what film won,What film won the Best Director and Best Music awards at the 2014 British Independent Film Festival?
who was leading,"Who was leading during the 1946 All-American Girls Professional Baseball League season, and with how many points?"
how did coe,How did Coe perform agains King in 1949 and Aaron in 1958?
what is the,What is the second-most disliked YouTube video as of 2019?
what percentage of,"What percentage of people voted ""yes"" in the referendum?"
what did the,What did the LIU Post team achieve in 2007?
when was the,When was the Wild Young Hearts album released in the United Kingdom and the United States and bu which labels respectively?
what were the,"What were the competitors, venues, and names for all the competitions that happened in 2015?"
who was first,"Who was first in the qualifying round, and what was their speed?"
what did jiro,What did Jiro Ishii do between 2008 and 2009?
who are the,Who are the governors of both Hawaii and North Dakota?
what roles did,What roles did Nigel Lindsay play at the Royal National Theatre?
who are the,Who are the longest-running FC Nordsjælland managers?
who won the,Who won the 1988 NBA All-Star Game and what was the score?
did shinya tsukamoto,Did Shinya Tsukamoto direct any sequel films?
who was sultan,Who was Sultan Salis?
