question,answer,question_type,skills,answer_type
among decedents who had contact with police in 24 months prior to death\, what is the percentage of those who were hospitalized at least once in the year before their death as a result of opioid poisoning?,Simple,Filtering entity,Person
among decedents who hadn't contact with police in 24 months prior to death\, what is the percentage of those who were hospitalized at least once in the year before their death as a result of opioid poisoning?,Simple,Filtering entity,Person
how many billion dollars did basic research activities account for in 2016?,88.6,Simple,Counting,Number
how many percentage points of total u.s. r&d expenditures did basic research activities account for?,0.171939,Simple,Aggregation;Counting,Number
how many billion dollars did applied research activities account for in 2016?,104.6,Simple,Counting,Number
how many percentage points of total u.s. r&d expenditures did applied research activities account for?,0.202989,Simple,Aggregation;Counting,Number
how many billion dollars did experimental development activities account for in 2016?,322.1,Simple,Counting,Number
how many percentage points of total u.s. r&d expenditures did experimental development activities account for?,0.625073,Simple,Aggregation;Counting,Number
which club did shala play for in 2018?,start,Simple,No skill,Unknown
how many points did adam vinatieri score in the postseason?,238.0,Simple,Counting,Number
which club did wang xin play for in 2018?,guangzhou r&f,Simple,No skill,Unknown
how many rushing yards did wendell smallwood get in 2016?,312.0,Simple,Counting,Number
among all decedents in british columbia and surrey\, what is the percentage of those who experienced their fatal overdose within one year after their contact with police?,Simple,No skill,Person
among all decedents in british coulumbia who came into contact with police prior to their fatal overdose\, what is the percentage of those who did so for a non-violent crime?,Composition,Filtering entity,Person
among all the types of offence\, which type was the most common category of offence for which decedents had contact with police in the 24 months prior to their overdose both in british columbia and surrey?,Simple,No skill,Person
in 2017\, how many individuals worldwide held a research doctoral degree in a science\,Simple,No skill,Person
how many individuals were residing in the united states?,967500.0,Simple,Counting,Number
how many percent of individuals residing in the united states were women?,0.349767,Simple,Counting,Number
how many individuals residing in the united states were women?,338400.0,Simple,Counting,Number
how many individuals were living abroad?,135700.0,Simple,Counting,Number
an additional 135\,700 were living abroad\,Simple,No skill,Person
how many rushing yards did emmitt smith get in 1992?,1713.0,Simple,Counting,Date
what the matches did benfica compete in the 2005-06 season?,<primeira liga>\,Simple,No skill,Person
which club did geynrikh play for in 2015?,ordabasy,Simple,No skill,Unknown
which club did maric play for in 2015-16?,persepolis,Simple,No skill,Unknown
the most important contributor to total variance was person effects\, what was the percentage of the variance of earnings for male workers?,Simple,Aggregation;Superlative,Person
the most important contributor to total variance was person effects\, what was the percentage of the variance of earnings for female workers?,Simple,Aggregation;Superlative,Person
the lower contribution of person effects for male workers was compensated by a higher contribution of the variance of predicted earnings based on observable characteristics and associated covariances\, what was the percentage of the variance for male workers?,Intersection,No skill,Person
the lower contribution of person effects for male workers was compensated by a higher contribution of the variance of predicted earnings based on observable characteristics and associated covariances\, what was the percentage of the variance for female workers?,Intersection,No skill,Person
what was the percentage of firm fixed effects for male workers?,11.1,Simple,Counting,Number
what was the percentage of firm fixed effects for female workers?,11.3,Simple,Counting,Number
what was the covariance between person and firm effect for male workers?,3.5,Simple,Counting,Number
what was the covariance between person and firm effect for female workers?,0.0,Simple,Counting,Number
which were the top three most frequently-mentioned sources of potential new capital among all the capital sources?,<personal finance>\,Simple,Superlative,Person
which gender had a lower average annual earnings from wages\, salaries and commissions in 2017\,Simple,Average,Date
what is the percentage of men who were in the total 20 occupations men in 2017?,11.52,Simple,Aggregation,Number
what is the percentage of decrease in the gender wage gap that occurred between 1997 and 2017 which was explained by changes in the relative characteristics of women and men?,46.8,Composition,Counting,Number
among all the characteristics which explains the change in gender differences\, which two were most important?,Simple,No skill,Person
what was the number of u.s.-trained female seh doctorate holders residing and working in the united states in 1997?,119350.0,Intersection,Counting,Number
what was the number of u.s.-trained female seh doctorate holders residing and working in the united states in 2017?,287250.0,Intersection,Counting,Number
by 2017\, which gender's number of psychologists was higher\,Simple,No skill,Person
what was the result that maya pedersen-bieri recorded in the women's?,59.64,Composition,Counting,Number
what was the number of appearances made by lee during the 2004-05 championship season?,38.0,Simple,Counting,Number
according to the 2011 nhs\, how many aboriginal children were aged 14 and under in canada?,Simple,No skill,Person
what was the percent of aboriginal children aged 14 and under lived in a family with both parents (biological or adoptive)?,49.6,Composition,Filtering entity;Difference,Number
what was the percent of their non-aboriginal counterparts aged 14 and under lived in a family with both parents (biological or adoptive)?,76.0,Composition,Filtering entity;Difference,Number
which type of households had higher proportion\, aboriginal children living with a lone parent or non-aboriginal children?,Simple,No skill,Person
which type of children were more likely to be stepchildren\, aboriginal children or non-aboriginal counterparts?,Simple,No skill,Person
which type of children were more likely to be foster children\, aboriginal children or non-aboriginal counterparts?,Simple,No skill,Person
which type of children were more likely to live with grandparents in a skip-generation household\, aboriginal children or non-aboriginal counterparts?,Composition,Filtering entity,Person
in 2011\, what was the percent of aboriginal children aged 14 and under lived in a family with four or more children in the same age group?,Simple,No skill,Person
in 2011\, what was the percent of non-aboriginal children aged 14 and under lived in a family with four or more children in the same age group?,Simple,No skill,Person
in 2011\, what was the percent of both first nations and inuit children aged 14 and under lived in a family with four or more children in the same age group?,Simple,No skill,Person
in 2011\, what was the percent of metis children aged 14 and under lived in a family with four or more children in the same age group?,Simple,No skill,Person
what was the proportion of common physical assault (level 1) classified as unfounded dropped from in 2017?,11.0,Simple,Counting,Number
what was the proportion of common physical assault (level 1) classified as unfounded dropped to in 2019?,10.0,Simple,Counting,Number
how many points did laviolette get in the southeast division ?,112.0,Simple,Counting,Number
what the matches did appearances and goal totals include?,<scottish premiership>\,Simple,Aggregation,Person
what was the number of league appearances made by walter bussey for stoke?,185.0,Simple,Counting,Number
which club did heikkila play for in 2016?,start,Simple,No skill,Unknown
what was the percentage of an average earnings gap between male and female workers?,0.268,Simple,Average,Number
with regard to the overall contribution of firm effects to the gender earnings gap\, what was the percentage of the gap attributable to the share of earnings specific to the firm?,Simple,Aggregation,Person
between 2018 and 2019\, 12 of canada's 13 provinces and territories reported increases in their csi\,Simple,No skill,Person
what was the largest decreases in csi between 2018 and 2019 were reported in brantford?,-10.0,Intersection,Superlative,Number
what was the largest decreases in csi between 2018 and 2019 were reported in sherbrooke?,-10.0,Intersection,Superlative,Number
what was the largest decreases in csi between 2018 and 2019 were reported in sherbrooke?,-10.0,Intersection,Superlative,Number
what was the largest decreases in csi between 2018 and 2019 were reported in sherbrooke?,-9.0,Intersection,Superlative,Number
what was the largest violent crime severity index percent from 2018 to 2019 increases reported in kelowna?,65.0,Simple,Superlative,Number
what was the largest violent crime severity index percent from 2018 to 2019 increases reported in belleville?,28.0,Simple,Superlative,Number
what was the largest violent crime severity index percent from 2018 to 2019 increases reported in saskatoon?,24.0,Simple,Superlative,Number
what was the largest violent crime severity index percent from 2018 to 2019 increases reported in peterborough?,21.0,Simple,Superlative,Number
what was the percent of breaking and entering also a driver in many of the cmas with the largest decreases in brantford?,-15.0,Composition,Superlative;Filtering entity,Number
what was the percent of breaking and entering also a driver in many of the cmas with the largest decreases in st. catharines-niagara?,-10.0,Composition,Superlative;Filtering entity,Number
what was the percent of breaking and entering also a driver in many of the cmas with the largest decreases in saskatoon?,-8.0,Composition,Superlative;Filtering entity,Number
what was the percent of breaking and entering also a driver in many of the cmas with the largest decreases in halifax?,-8.0,Composition,Superlative;Filtering entity,Number
between 2018 and 2019\, how mnay percent did canada's non-violent crime severity index (nvcsi)\,Simple,No skill,Person
what was the decline in the ycsi in 2019 which was primarily the result of decreases in the rate of youth accused of breaking and entering?,-18.0,Intersection,Counting,Number
what was the decline in the ycsi in 2019 which was primarily the result of decreases in the rate of youth accused of homicide?,-35.0,Simple,Counting,Number
what was the decline in the ycsi in 2019 which was primarily the result of decreases in the rate of youth accused of possession of stolen property?,-20.0,Simple,Counting,Number
similar to previous years\, what was the rate of the most common criminal offences committed by youth in 2019 in level 1 assault?,Simple,Filtering time,Date
similar to previous years\, what was the rate of the most common criminal offences committed by youth in 2019 in shoplifting of $5\,Simple,Filtering time,Date
similar to previous years\, what was the rate of the most common criminal offences committed by youth in 2019 in mischief?,Simple,Filtering time,Date
in the north\, how many percentage points did females account for of the population aged 24 and younger?,Simple,No skill,Person
in the north\, how many percentage points did females account for of victims of violent crime aged 24 and younger?,Simple,No skill,Person
in 2017\, how many percent of u.s.-trained seh doctorate holders performing an r&d activity as their primary work activity were women?,Simple,No skill,Person
in 1997\, how many percent of u.s.-trained seh doctorate holders performing an r&d activity as their primary work activity were women?,Simple,No skill,Person
how many league goals did brook score for manchester city totally?,158.0,Simple,Aggregation;Counting,Number
how many members were elected in the national assembly elections?,137.0,Simple,Counting,Number
while overall rates of violent crime against young females saw a net decline from 2009 to 2017\, what was the decrease for young females in the north?,Simple,Aggregation,Person
while overall rates of violent crime against young females saw a net decline from 2009 to 2017\, what was the decrease for young females in the south?,Simple,Aggregation,Person
compared with young women and girl victims of homicide in the south\, which gender were female victims in the north more likely to be killed by someone who was male or female?,Intersection,Filtering entity,Person
compared with young women and girl victims of homicide in the south\, which age group were female victims in the north more likely to be killed by someone?,Intersection,Filtering entity,Person
compared with young women and girl victims of homicide in the south\, which relationship were female victims in the north more likely to be killed by someone?,Intersection,Filtering entity,Person
compared with young women and girl victims of homicide in the south\, which relationship were female victims in the north more likely to be killed by someone?,Intersection,Filtering entity,Person
compared with young women and girl victims of homicide in the south\, which intoxicating substance were female victims in the north more likely to be killed by someone?,Intersection,Filtering entity,Person
compared with young women and girl victims of homicide in the south\, which accused previous conviction were female victims in the north more likely to be killed by someone?,Intersection,Filtering entity,Person
in 2013\, what was the percent of canadians were members or participants in a group\,Simple,No skill,Person
in 2003\, what was the percent of canadians were members or participants in a group\,Simple,No skill,Person
from 2003 to 2013\, what was the increase in the rate of participation in groups for women?,Simple,No skill,Person
from 2003 to 2013\, what was the increase in the rate of participation in groups for men?,Simple,No skill,Person
how many percentage points was the proportion of seniors aged 75 and over who were members or participants up between 2003 and 2013?,14,Simple,Counting,Number
in 2017\, how many u.s.-trained seh early career doctorate holders who received their doctoral degree between 2006 and 2015 and were working in the united states?,Simple,Filtering time,Date
in 2017\, among the nearly 305\,Simple,No skill,Person
among the mid- and late-career doctorate holders with degrees earned before 2006\, how many percent of people were women?,Simple,Comparative;Filtering time;Filtering entity,Person
what was the result that corinna kuhnle got in the semifinal?,101.54,Composition,Counting,Number
how many goals did angelo palombo score for sampdoria in 2005-06?,1.0,Simple,Counting,Number
what was the population of novi pazar?,100410.0,Simple,Counting,Number
how many rushing yards did charles sims get in 2014?,185.0,Simple,Counting,Number
what was the proportion of seniors aged 65 and over were mainly involved with religious-affiliated groups?,20.0,Composition,Filtering entity,Number
what was the proportion of seniors aged 65 and over were mainly involved with seniors' groups?,19.0,Composition,Filtering entity,Number
what was the proportion of people aged 64 and under were more likely to be mainly involved in sports and recreational organizations?,33.0,Intersection,Counting,Number
the increase was especially pronounced among young adults aged 25 to 34: what was the percent of people had looked for information about a political issue in 2013?,50.0,Simple,Counting,Number
the increase was especially pronounced among young adults aged 15 to 24: what was the percent of people had looked for information about a political issue in 2013?,53.0,Simple,Counting,Number
from 2001 to 2016\, what was the number of canadian employees working in manufacturing fell by roughly half a million dropped in 2001?,Simple,Filtering time,Date
from 2001 to 2016\, what was the number of canadian employees working in manufacturing fell by roughly half a million dropped to in 2016?,Simple,Filtering time,Date
although the number of postdocs working at ffrdcs declined earlier in the decade\, it has recently increased\,Simple,Counting,Person
what was the number of ffrdcs increased in 2010?,38.0,Simple,Counting,Number
what was the number of ffrdcs increased in 2017?,42.0,Simple,Counting,Number
what was the number of ffrdcs with postdoc programs fluctuated in 2013?,21.0,Composition,Filtering entity;Counting,Number
what was the number of ffrdcs with postdoc programs fluctuated in 2015?,24.0,Composition,Filtering entity;Counting,Number
how many passing yards did fran tarkenton get in 1961?,1997.0,Simple,Counting,Date
how many league goals did henri bienvenu score for esperance in 2008-09?,6.0,Simple,Counting,Number
which feeding history were first nations children living off reserve less likely to have asthma/chronic bronchitis\, who were only breastfed or who were only bottle-fed?,Simple,Ordinal,Person
what was the percent of children who were breastfed up to six months to have asthma/chronic bronchitis?,0.11,Simple,Counting,Number
what was the percent of children who were breastfed more than six months to have asthma/chronic bronchitis?,0.1,Simple,Comparative;Filtering numeric,Number
what was the percent of children who were never breastfed to have asthma/chronic bronchitis?,0.14,Simple,Negation,Number
after several factors were controlled for in a logistic regression model\, which feeding history of first nations children living off reserve were significantly less likely to have chronic ear infections\,Simple,No skill,Person
which breastfeeding duration of off-reserve first nations children were significantly less likely to have chronic ear infections\, who were breastfed for more than six months or their counterparts who were not breastfed?,Simple,Ordinal,Person
how many people in the final study sample comprised 7\,239 first nations people living off reserve?,Simple,Counting,Person
how many people in the final study sample comprised metis people living off reserve?,6998.0,Simple,Counting,Date
how many people in the final study sample comprised inuit people living off reserve?,2852.0,Simple,Counting,Date
what the matches did queens compete in?,<challenge cup>\,Simple,No skill,Person
what was the number of anglican numbers in 2013?,459771.0,Simple,Counting,Number
how many goals did thorne score for stoke totally?,80.0,Simple,Aggregation;Counting,Number
what was the mean k10 score (range 0 to 40) for first nations people living off reserve?,6.3,Simple,Ordinal;Average,Number
what was the mean k10 score (range 0 to 40) for metis people living off reserve?,6.0,Simple,Average,Number
what was the mean k10 score (range 0 to 40) for inuit people living off reserve?,5.5,Simple,Average,Number
first nations people living off reserve\, metis\,Simple,No skill,Unknown
from 1985 to 2001\, what was the mean reselling price ratio for buildings?,Simple,No skill,Person
from 1985 to 2001\, what was the mean reselling price ratio for machinery and equipment?,Simple,No skill,Person
from 2002 to 2010\, what was the mean reselling price ratio for buildings?,Simple,No skill,Person
from 2002 to 2010\, what was the mean reselling price ratio for machinery and equipment?,Simple,No skill,Person
the mean depreciation rate for these selected machinery and equipment categories as a whole\, weighted by their chained dollar investment shares\,Simple,Average,Person
the mean depreciation rate for these selected machinery and equipment categories as a whole\, weighted by their chained dollar investment shares\,Simple,Average,Person
how many thousand dollars did state government agency expenditures for research and development total in fy 2017?,2517309.0,Intersection,Aggregation;Counting,Number
state government agency expenditures for research and development totaled $2.5 billion in fy 2017\, what was an increase from fy 2016?,Intersection,Aggregation,Date
how many goals did forlan score in the premier league for manchester united?,6.0,Simple,Counting,Number
how many goals did malcom score for bordeaux totally?,23.0,Simple,Aggregation;Counting,Number
how many years are the ex post estimates for the long-lived assets?,29.4,Simple,Counting,Number
how many years are the ex ante estimates for the long-lived assets?,25.3,Simple,Counting,Number
what was the percent of those who experienced them on campus indicated that they happened in an on-campus residence?,78.0,Composition,Counting,Number
what was the proportion of unwanted sexualized behaviours on campus occurred in a non-residential building (such as a library\, cafeteria or gym)?,Simple,No skill,Person
what was the propotion of most behaviours that occurred online happened on social media?,85.0,Composition,Superlative,Number
how many million dollars did total r&d expenditures reach in fy 2017?,75315.0,Simple,Aggregation;Counting,Number
how many million dollars did total r&d expenditures reach in fy 2016?,71935.0,Simple,Aggregation;Counting,Number
how many rushing yards did faulk get in 1994?,1282.0,Simple,Counting,Date
when did new york city release?,2003.0,Simple,Filtering time,Date
what was the number of appearances made by depay for psv?,124.0,Simple,Counting,Number
how many goals did matty barlow score for stalybrige in three seasons.,36.0,Simple,Counting,Number
how many goals did trevor rhodes make in 147 league and cup games?,29.0,Intersection,Counting,Number
in 1989\, what is the peak position for the single drive on in the uk\,Simple,No skill,Person
what is the average daily total sugars intake from food and beverages among all children aged 2 to 8.,101,Simple,Aggregation;Average,Number
in 2015\, what is the average grams of sugar that consumed by children aged 2 to 8\,Simple,No skill,Person
what is the average daily total sugars intake from food and beverages for children aged 9 to 18 in 2015.,115,Intersection,Aggregation;Average,Number
for children aged 9 to 18\, what is the average daily sugars intake from food and beverages among thoes plausible reporters in 2015?,Simple,Filtering time,Date
for children aged 9 to 18\, which year has a lower overall daily total sugars intake\,Simple,No skill,Person
what was the largest increases in percentage terms occurred in ontario?,149.7,Simple,Superlative,Number
what was the increases in percentage terms occurred in quebec?,134.6,Simple,Counting,Number
what was the increases in percentage terms occurred in nova scotia?,127.7,Simple,Counting,Number
what was the percent of students who were sexually assaulted in the previous 12 months said they knew where to get help at school if a friend was harassed or sexually assaulted?,68.0,Composition,Counting,Number
what was the percent of students who were not sexually assaulted?,81.0,Simple,Negation,Number
hearing impairment was more common at older ages\, what was the percent among those aged 75 or older?,Simple,No skill,Person
which gender were generally more likely to have a hearing impairment\, men or women?,Simple,No skill,Person
how many million dollars spent on r&d in fy 2017?,75175.0,Simple,Counting,Number
of the $75.2 billion spent on r&d in fy 2017\, how many percent was categorized as basic research?,Simple,No skill,Person
of the $75.2 billion spent on r&d in fy 2017\, how many percent was categorized as applied research?,Simple,No skill,Person
of the $75.2 billion spent on r&d in fy 2017\, how many percent was categorized as experimental development?,Simple,No skill,Person
what was the shares in fy 2010 for basic research?,0.659455,Simple,Counting,Number
what was the shares in fy 2010 for applied research?,0.252549,Simple,Counting,Number
what was the shares in fy 2010 for experimental development?,0.08798,Simple,Counting,Number
how many rushing yards did emmitt smith get in 1991?,1563.0,Simple,Counting,Date
in 2015/2016\, how many adult offenders on average on a given day\,Simple,No skill,Person
between 2011 and 2015\, what was the percent of decline in the number of adults charged?,Simple,No skill,Person
on an average day in 2015/2016\, how many adults in custody?,Simple,Average,Person
on an average day in 2015/2016\, how many adults in provincial and territorial custody?,Simple,Average,Person
on an average day in 2015/2016\, how many adults in federal custody?,Simple,Average,Person
how many adult per 100\,000 adult population in manitoba?,Simple,Counting,Person
how many adults per 100\,000 adult population in nova scotia?,Simple,Counting,Person
in 2015/2016\, what was the percent of adults admitted to provincial and territorial correctional services were women?,Simple,No skill,Person
what the proportion of community admissions did women account for?,20.0,Simple,Counting,Number
what the proportion of custody admissions did women account for?,13.0,Simple,Counting,Number
what was the percent of women represented of admissions to community supervision?,7.0,Simple,Counting,Number
what was the percent of aboriginal adults were provincial and territorial custodial admissions?,27.0,Simple,Counting,Number
what was the percent of aboriginal adults were provincial and territorial community admissions?,24.0,Simple,Counting,Number
what the percent of admissions to custody did aboriginal adults in federal correctional services account for in 2015/2016?,28.0,Simple,Counting,Number
what the percent of admissions to community supervision did aboriginal adults in federal correctional services account for in 2015/2016?,26.0,Simple,Counting,Number
in 2015/2016\, how many dollars did adult correctional services operating expenditures in canada total?,Simple,No skill,Person
in 2015/2016\, what was the percent of adult correctional services operating expenditures in canada totalled a decrease from the previous year after adjusting for inflation?,Simple,No skill,Person
what was the percent of the decrease in federal expenditures on corrections?,9,Simple,Counting,Number
what was the percent of provincial and territorial spending increased?,6.0,Simple,Counting,Number
how many dollars was total operating expenditures for correctional services equivalent for each person in the canadian population?,128.0,Simple,Aggregation;Counting,Number
what was the percent of tourism employment revised up?,11.2,Simple,Counting,Number
how many jobs were tourism employment revised up in 2015?,708.5,Simple,Counting,Number
how many thousand dollars was r&d expenditures in science in fy 2017?,58932076.0,Simple,Counting,Number
how many thousand dollars was r&d expenditures in engineering in fy 2017?,11897397.0,Simple,Counting,Number
how many thousand dollars was r&d expenditures in non-science and engineering (non-s&e) in fy 2017?,4345468.0,Intersection,Counting,Number
how many receiving yards did douglas get in 2005?,457.0,Simple,Counting,Number
how many rushing yards did jerome bettis get in 2001?,1072.0,Simple,Counting,Date
over the 2006-to-2015 period\, what was the number of entrants fluctuated?,Simple,No skill,Person
how many percentage points of tourism gdp was revised down in 2015?,0.2,Simple,Counting,Number
what was the percent of tourism gdp increased in 2015?,2.9,Simple,Counting,Number
how many percent of gross jobs creation did the top 5% account for?,49.4,Simple,Counting,Number
how many jobs did the top 5% creat an annual average jobs per firm?,18.3,Simple,Average;Counting,Number
what was the percent of all jobs lost the top 5% of job destroyers accounted for?,52.4,Simple,Counting,Number
what was the percent of older firms accounted for of all gross job gains?,25.6,Simple,Counting,Number
what was the percent of older firms accounted for of all gross job losses?,38.6,Simple,Counting,Number
among job creators (firms with positive employment growth)\, what was the percent of immigrant-owned firms were considered high-growth firms?,Simple,Filtering entity,Person
among job creators (firms with positive employment growth)\, what was the percent of firms with canadian-born owners?,Simple,Filtering entity,Person
among job creators (firms with positive employment growth)\,what was the difference between immigrant-owned firms and firms with canadian-born owners?,Simple,Filtering entity,Person
from february 2020 to april 2020\, how many percentage points did the neet rate for men aged 25 to 29 with children increase?,Simple,No skill,Person
from february 2020 to april 2020\, how many percentage points did the neet rate for women aged 25 to 29 with children increase?,Simple,No skill,Person
how many percent did the top 30 institutions account of the total spent on r&d within the higher education sector in fy 2017?,0.419661,Simple,Aggregation;Counting,Number
how many receiving yards did fitzgerald get in 2015?,1215.0,Simple,Counting,Date
how many rushing yards did aaron jones get in 2018?,728.0,Simple,Counting,Number
what matches did colchester united f.c. participated in?,<third division>\,Simple,No skill,Person
how many times was the median wealth of the 1999 cohort of canadian-born families higher than that of the 1999 cohort of recent immigrant families in 2016?,1.03,Composition,Comparative;Counting,Number
how many times was the median wealth of the 1999 cohort of canadian-born families down from that of the 1999 cohort of recent immigrant families in 2016?,3.25,Composition,Counting,Number
what was the record of johnson in 2011?,9.0,Simple,Counting,Number
which club did archie mitchell play for in 1920-21?,queens park rangers,Simple,No skill,Person
how many goals did paddon score for the canaries totally?,28.0,Simple,Aggregation;Counting,Number
which club did ken kallaste play for in 2006?,warrior,Simple,No skill,Unknown
what are the percentages of older immigrant families whose major income recipients were aged 45 to 64 with no financial welth in 1999?,9.5,Composition,Negation;Filtering entity,Number
what are the percentages of 15- to 24-year-olds who had been depressed in their lifetime and past year?,<10.7>\,Intersection,Counting,Number
among those with depression\,what's the percentage of those who had talked to a professional about their symptoms in their lifetime?,Simple,Filtering entity,Person
what are the percentages of 15- to 24-year-olds reported having had suicidal thoughts at some point in their life and in the past year respectively.,<14.1>\,Intersection,Counting,Number
among 15- to 24-year-olds reported having had suicidal thoughts at some point in their lifetime\,what are the percentages of those who had made a suicide plan and had attempted suicide respectively?,Simple,No skill,Person
who are more likely to have lifetime suicidal thoughts \,males or females?,Simple,No skill,Person
among 15- to 24-year-olds with lifetime depression\,what are the percentages of those who consulted a professional and those who consulted an informal source in the past 12 months respectively?,Simple,Filtering entity,Person
list the top2 common informal sources and their percentages.,<friend>\,Simple,No skill,Unknown
among those who reported lifetime suicidal thoughts\,what are the percentages of those who consulted a professional and consulted an informal source respectively?,Simple,No skill,Person
how many goals did boylan score for canvey island in his five-year tenure?,176.0,Simple,Counting,Number
what was the number of appearances made by hutchinson for torquay totally?,338.0,Simple,Aggregation;Counting,Number
what percentages are the employment incidence for cec immigrants higher than fswp immigrants in the first year and fifth year respectively?,<14.9>\,Intersection,Comparative;Ordinal,Number
what percentages did cec immigrants earned more than fswp immigrants in the first full year and fifth year respectively?,<0.562945>\,Simple,Comparative;Ordinal;Filtering numeric,Number
who had lower earnings in the fifth year after immigration\,pnp immigrants or fswp immigrants.,Simple,Comparative;Filtering time,Person
who had the lowest earnings in the first year and fifth year after immigration respectively?,quebec skilled workers,Simple,Superlative;Comparative;Ordinal,Person
who had lower adjusted earnings in the fifth year\, pnp immigrants or fswp immigrants.,Simple,No skill,Person
among women who walk alone in their neighbourhood after dark\, what's the percentage of those who said they felt very safe?,Simple,Comparative;Filtering time,Person
when walking alone in their neighbourhood after dark\,how many times did women feel somewhat or very unsafe than men?,Simple,Comparative;Filtering time,Person
which age group was the least likely group to feel very safe when walking alone in their neighbourhood after dark.,15 to 24,Simple,Superlative;Comparative;Filtering time,Number
who were the least likely to report feeling very safe walking alone in their neighbourhood after dark?,apartment in building with five storeys or more,Simple,Superlative;Comparative;Filtering time,Person
who were less likely to say they felt very safe\,people living in a neighbourhood where there is a high proportion of apartments or where the proportion was lower.,Simple,No skill,Person
how many million dollars of software r&d did businesses perform in 2018?,165576.0,Simple,Counting,Number
of the approximately 26\,000 companies with 10 or more employees that performed r&d in 2018\,Simple,Filtering time,Date
which club did duyshobekov play for in 2018?,kelantan,Simple,No skill,Unknown
how many rushing yards did david johnson get in 2015?,581.0,Simple,Counting,Number
which weight category did boys in china participate in?,+73 kg,Simple,Counting,Number
which club did gareth ainsworth play for in 1996-97?,lincoln city,Simple,No skill,Person
what were the key variables of census (long form) and nhs.,family composition and marital status\,Simple,No skill,Person
what's the percentage of canchec cohort members aged 20 or older who had complete postal code histories in 2011?,74.1,Simple,Counting,Number
what's the percentage of working adults aged 25 to 64 with a university education who stated that their job only required a high school education.,12.2,Composition,Filtering entity,Number
among working adults aged 25 to 64 with a university education\,what were the percentages of those who thought that their job required a college-level education and required a university education respectively?,Simple,Filtering entity,Person
what's the percentage of the overqualified population--those who reported that their job required no more than a high school education.,12.2,Composition,Negation;Comparative;Filtering numeric,Number
which group's proportion did not vary across age groups or gender?,in a job requesting a high school-level education or lower,Simple,Negation,Person
what's the percentage of foreign-born workers with a foreign university degree who reported that they were in a job requiring a high school education.,26.6,Composition,Filtering entity,Number
what's the percentage of university graduates whose mother tongue was neither english nor french and said they were working in a job that required no more than a high school diploma.,20.4,Composition,Negation;Comparative;Filtering numeric,Number
among people who had a degree in humanities\, languages or arts\,Simple,No skill,Person
among people who had a degree in social science\, business or law \,Simple,No skill,Person
among university graduates whose literacy skills were in the lowest range (levels 0 and 1) and in level 2 \,what were the percentages of those who reported that their current job required no more than a high school education respectively?,Intersection,Superlative;Filtering entity,Person
among university graduates whose literacy skills in level 3 and in level 4 or level 5\,what were the percentages of those who reported that their job required no more than a high school diploma respectively?,Intersection,Filtering entity,Person
among those who had higher literacy skills\,who were more likely to be overqualified\,Simple,No skill,Person
among those who had higher literacy skills\,who had the lowest probability of being overqualified.,Simple,No skill,Person
within the lower skilled population of the numeracy model\,what were the percentages of foreign-born workers who earned their degree in canada and those who were born in canada respectively?,Simple,No skill,Person
within the lower skilled population in both models\,what were the probabilities of the foreign-born and foreign-educated had respectively?,Simple,No skill,Person
within the higher skilled population in both models\,who had greater probability of being overqualified\,Simple,No skill,Person
among workers with higher literacy skills\,what was the gap between graduates of humanities\,Simple,Filtering entity,Person
among workers with lower literacy skills\,who had a significantly greater probability of being overqualified\,Simple,Filtering entity,Person
among university graduates with higher literacy levels\,who were the least likely to be overqualified.,Simple,Filtering entity,Person
among graduates with lower skill levels\,what was the percentage of those whose mother tongue was a language other than english or french?,Simple,Filtering entity,Person
what was the percentage of university graduates working in occupations requiring a high school diploma or less education.,14.5,Simple,Counting,Number
among the 12% who were found to be overqualified using the self-assessment\,what was the percentage of those who would have been overqualified.,Simple,No skill,Person
among the 69% who considered themselves as having a job requiring a university education\,what was the percentage of those overqualified ?,Simple,No skill,Person
what method produces a minimum estimate of the population whose mother tongue is english\, french or a language other than english or french.,Composition,Filtering entity,Person
how many respondents who reported more than one mother tongue in 2016 are not included in any of the three main groups?,818630.0,Simple,Negation;Comparative;Filtering numeric,Number
how many million dollars did businesses spend on research and development performance in the united states in 2016?,374685.0,Intersection,Counting,Number
businesses spent $375 billion on research and development performance in the united states in 2016\, how many percentage points of increasing from 2015?,Intersection,Filtering time,Date
how many million dollars was funding from the companies' own sources in 2016?,317731.0,Simple,Counting,Number
funding from the companies' own sources was $318 billion in 2016\, how many percent of increasing from 2015?,Simple,Filtering time,Date
how many million dollars were funding from other sources in 2016?,56954.0,Simple,Counting,Number
how many million dollars were funding from other sources in 2015?,59144.0,Simple,Counting,Number
what was the number of league and cup appearances made by rob kozluk for the club sheffield united.,236.0,Intersection,Counting,Number
which club did fernando juarez play for in 2016?,talleres,Simple,No skill,Unknown
for all firms with immigrant owners\, what was the percentage points of likelihood of implementing a product innovation higher than for firms with canadian-born owners?,Simple,Filtering entity,Person
for process innovations\, what was the percentage points of the likelihood higher for immigrant-owned firms?,Simple,No skill,Person
what was the percentage points of firms with immigrant owners who had been in canada for more than 20 years were also more likely to implement a process innovation than firms with canadian-born owners?,0.037,Composition,Comparative;Filtering numeric;Filtering entity,Number
what were the differences translate to respondents whose mother tongue is english\,french and a language other than english or french in numbers\,Composition,Filtering entity,Person
in quebec\, what was the difference of respondents who reported english as their mother tongue from the english mother tongue group in number?,Simple,No skill,Person
