question,answer,question_type,skills,answer_type
Who participated in the Women's Nordic Football Championship?,In the Women's Nordic Football Championship\,Simple,No skill,Person
What was Barbara Buatois' bicycle speed record?,Barbara Buatois achieved 121.81 km/h (75.69 mph) in 2010.,Simple,Filtering time,Date
What is the adoption of Amendments on the crime of aggression?,Amendments on the crime of aggression were adopted on June 11\,Simple,Filtering time,Date
Which line connected to Dammam has the most stations and how far again is it from the origin?,The 449 km Dammam–Riyadh line has four stations.,Intersection,Superlative,Person
What was Hong Kong's highest grossing film of 1990?,All for the Winner was Hong Kong's highest-grossing film of 1990.,Simple,Superlative,Date
Which class ranks do AS100 cadets and AS200 cadets hold?,AS100 cadets hold the Cadet Fourth Class (C/4C) rank while AS200 cadets hold the Cadet Third Class Rank (C/3C).,Simple,No skill,Person
What vehicles were bought by Keighley and Worth Valley Railway?,79962 and 64 were bought by Keighley and Worth Valley Railway.,Simple,No skill,Person
What did Cao achieve in 2017 with his film See You Tomorrow?,In 2017\,Composition,Filtering entity,Date
How many votes did Mebyon Kernow poll in the 1997 general election?,The Mebyon Kernow party fought the 1997 general election and polled 1\,Simple,Counting,Date
What statistics made Herbert Sutcliffe's career as a batsman distinguished?,With 60.73\,Simple,Counting,Number
Does any country have greater than  5% Plug-in passenger cars on the road?,Norway has 10.7% Plug-in passenger cars on the road as of 2018\,Simple,Comparative;Filtering numeric,Date
What league is the St. Paul Saints?,The St. Paul Saints are an American Association team.,Simple,No skill,Person
Who is the current mayor of Parma\, what party affiliations has he had\,Simple,No skill,Person
What kind of torpedo armaments do the Delhi Class destroyers have?,The ships have quintuple 533 mm (21 in) torpedo tubes.,Simple,No skill,Person
What award did Nitish Jain win in 2010 and who awarded him the Award for Excellence  in 2014?,In 2010\,Intersection,Filtering time,Date
How does the Maria Pia Bridge compared to the previous longest bridge span at the time it was built?,Maria Pia Bridge has a span of 160m (525 ft). The previous longest bridge span was Eads Bridge with the 158.5m (520 ft) over the Mississippi at St Louis.,Simple,Superlative,Person
Did Björn Forslund ever win Gold in the World Championship?,Björn Forslund won Gold in the World Championship in 1995 and 1997.,Simple,Filtering time,Date
What was hurricane Cleo's total impact?,Hurricane Cleo killed 156 people and caused $187 million in damage.,Simple,Aggregation,Person
How many passengers did Tuxtla Gutiérrez International airport handle in 2018\, an increase on which year?,Simple,Counting,Person
When did the Marina Torch become the tallest residential building and which build did it surpass?,The Marina Torch\,Intersection,No skill,Person
What is Anisian classification wise and when did it start and end?,The Anisian is the age of the Middle Triassic period and lasted from 247.2 million years ago until 242 million years ago.,Simple,No skill,Person
What are the most and least populated communes in the Canton of Archaic?,The least populated commune was Neulles with 139 and the most populated commune was Archiac with 864.,Intersection,Superlative,Person
Who were the members of the Sky Dragons on The Ultimate Fighter: China?,Team Sky Dragons was made up of Ning Guangyou\,Simple,No skill,Person
What role did the artist Scandal play in 2015?,In 2015\,Simple,Filtering time,Date
Which television programs did Andrea Howard appear as Santa Barbara and Maxine Moon and in which year?,Andrea Howard appeared on television's\,Intersection,No skill,Person
How was Luke Young traded in 2007?,Luke Young was traded on 26 July 2007 for £2.5 million from Charlton Athletic.,Simple,Filtering time,Date
What is the result of the first game in 2014 Indian Super League season?,The 2014 Indian Super League season started by Atlético de Kolkata defeating Mumbai City with a score of 3–0.,Simple,Ordinal,Date
How are  the ancestries of White Latin Americans divided?,According to the study on White Latin Americans\,Simple,No skill,Person
When and where were the 20th and 21st WCSS held?,The 20th WCSS was held in 2014 on Jeju-do Island\,Intersection,Filtering time,Date
How large is the Cape Breton Island?,The Cape Breton Island is 10\,Simple,No skill,Person
How many helicopters does the Rwanda Defence Force have?,The Rwandan Air Force has twelve Mil Mi-8/17 helicopters\,Simple,Counting,Person
What were Jeff Bagwell's single season records for batting average\, slugging percentage\,Simple,No skill,Person
What was Bipin Karki's debut film and when did it premiere?,Bipin Karki debuted as Bindu in Chhadke (2013).,Simple,Filtering time,Date
What did Maxjazz document from 2006 and 2007?,Maxjazz documented Malone's performances on the albums Live at Jazz Standard\,Simple,No skill,Person
What is Naa Ashorkor working for since 2017?,Naa Ashorkor is the Host of Showbiz A To Z; a weekend entertainment review show on Joy 99.7 FM.,Simple,Filtering time,Person
What are the two most attended Alamo Bowls\, and what were the teams in each of these matches?,Simple,Superlative,Person
What did the Creeper band release in 2017?,The Creeper band released the EP Christmas in 2017\,Simple,Filtering time,Date
Who won the race and by how much time?,Lawrie completed the race in 24.91s to take gold\,Simple,No skill,Person
What is the change of average Entry Tariff from 2014 to 2015?,Exeter has average Entry Tariff 466 in 2014 and it changed to 471 in 2015.,Simple,Average,Date
What fleet numbers do GWR 9400 class have?,The GWR 9400 class were numbered 9400–9499\,Simple,Filtering time,Date
Which Renaissance Center towers were first constructed in the 1980's\, and what were their final heights?,Simple,Ordinal,Person
What were the achievements of Phil Maloney during the 1973-74 playoffs?,Phil Maloney became the coach in the 1973-74 season and coached 232 games with the Vancouver Canucks.,Simple,Filtering time,Date
What was Fort Revere's latest addition to their artillery?,A battery of four 90 mm guns known as AMTB 941 was built in Fort Revere in 1943.,Simple,Superlative,Date
What is the event WEC 51: Aldo vs. Gamburyan?,WEC 51: Aldo vs. Gamburyan was an event held on September 30\,Simple,Filtering time,Date
Which fireless steam locomotives had condensers?,Locomotive number 1685 and 2107 had condensers.,Simple,Filtering time,Date
What albums did the Human Abstract band release?,The Human Abstract band released Nocturne (2006)\,Simple,Filtering time,Date
What are the records of Jambalaya\, Musketier and Aldous Snow?,Simple,No skill,Person
What was the call frequency for WYGS?,WYGS is heard on WKRY 88.1 in Versailles\,Simple,No skill,Person
How did Malaya do in the 1952 and 1955 Thomas Cup?,Malaya retained the Thomas Cup in Singapore against the USA by a score of 7–2 in 1952 and against Denmark 8–1 in 1955.,Simple,Filtering time,Date
What was the fifth highest scoring game in the NFL?,On October 6\,Simple,Superlative,Date
What AOCs are in Indonesia?,There are two types of AOC in Indonesia\,Simple,No skill,Person
Who is the current holder of the Subway Challenge record?,In July 2016\,Simple,Filtering time,Date
What were Linde's 2016 revenue and number of employees?,Linde's revenue in 2016 were €16.948 billion\,Simple,Counting,Date
Are any locomotive numbers out of sequence with their unit numbers?,With the exception of numbers 91-001 (38604)\,Simple,Filtering entity,Person
According to the 2002 census\, how many people were living in Bydlowa\,Simple,No skill,Person
How much money will the winner and the runners-up receive?,US$125\,Simple,Counting,Number
What two teams have won the highest numbers of championships?,Two teams won the highest numbers of championships\,Simple,Superlative,Person
What many candidates did LDP\, Komeito\,Simple,Filtering time,Unknown
What did Kinchen produce in 2010 and 2011?,Kinchen worked with Pitbull as a producer and produced three songs on the latter's Armando album (2010)\,Simple,Filtering time,Date
Hod did Ralph Breyer set an Olympic record?How did Ralph Breyer set an Olympic record?,In the first heat Ralph Breyer set a Olympic record with 5:22.4 minutes.,Simple,No skill,Person
How did the population and ethnic make up of Shusha change from 1851 to 1916?,In 1851\,Intersection,Filtering time,Date
Against who did Italy's national rugby team defeat in 2011 and 2013 and by what scores?,In 2011\,Intersection,Filtering time,Date
How often did Smriti Khanna appear on Colors TV?,Smriti Khanna played 4 roles on the channel Colors TV between 2014 and 2017.,Simple,Filtering time,Date
Were there any soccer players in both the 1980 and 1981 First-Team All-America teams?,Kelly of Eastern Illinois was a 1980 and 1981 First Team All American soccer player.,Intersection,Filtering time,Date
What awards did No Tears Left to Cry receive in 2018?,In 2018 No Tears Left to Cry won Best Pop at the MTV Video Music Awards and Best Female Video - International at MTV Video Music Awards Japan.,Simple,Negation,Date
Which players held the first two career records in Test cricket?,Warne's 708 Test wickets was the record in Test cricket\,Simple,Ordinal,Person
Who was the 2006 top scorer in the FIBA Basketball World Cup?,At FIBA Basketball World Cup\,Simple,No skill,Person
What did Bethel Music do in 2010?,In 2010\,Simple,Filtering time,Date
What was Matignon's most successful year during his career?,Matignon's success came in 2010\,Simple,Superlative,Date
Which players did Halifax give to Droylsden on loan and on when were they loaned?,Halifax loaned Jake Hibbs and Sam Hillhouse to Droylsden on November 27th\,Intersection,No skill,Person
How much cargo did the Chennai Port handle in 2009-10 compared to the previous year?,In 2009–10\,Simple,Filtering time,Date
How did Rafael Amaya do at the 2014 Premios Tu Mundo?,Rafael Amaya won Favorite Lead Actor at the 2014 Premios Tu Mundo.,Simple,Filtering time,Date
What was the popularity of Dou dizhu like between 2002 and 2005?,Dou dizhu´s popularity increased substantially\,Simple,No skill,Person
Which quarterback player received the Associated Press NFL Comeback Player of the Year Award in 2006 and 2008 and with which teams respectively?,The only player to be recognized multiple times is quarterback Chad Pennington\,Composition,Filtering entity,Person
Which isotopes in the Earth are heat-producing?,The heat-producing isotopes in the Earth are potassium-40\,Simple,No skill,Person
Who did the Indigenous All Stars initially play in the All Stars Match?,Between 2010 and 2015\,Simple,Filtering time,Date
What aircrafts does 28th Air Detachment operate?,28th Air Detachment operates 1 Airbus A319\,Simple,No skill,Person
What are the measurements of Yankee Stadium to the left field\, left-center\,Simple,No skill,Unknown
How was the performance of the pair of figure skaters Kilius / Ningel during 1956 and 1957?,In pairs figure skating\,Intersection,No skill,Person
What happened to Kennedy and John Roos in 2013?,In 2013\,Simple,Filtering time,Date
How did the Venetist party fare in the elections in Verona and Vicenza\, the PSI party in Belluno\,Intersection,No skill,Person
What Radio One programs did Kabir Bedi do in 2012?,In 2012\,Simple,Filtering time,Date
Who succeeded Bruton as Irish Leader of the Opposition in 2001 and which party did both candidates represent?,Michael Noonan succeeded John Bruton of Fine Gael as the Leader of the Opposition in 2001.,Intersection,Filtering time,Date
When was the United States most successful at Lone Pine International?,The United States first won Lone Pine International in 1971 and last won Lone Pine International in 1974.,Simple,Superlative;Filtering time,Date
What are the statistics of yards\, attempts\,Simple,No skill,Unknown
What roles did Joe Armstrong play with the National Youth Theatre?,Armstrong played as Gerry Evans in Dancing at Lughnasa in 1998 and Lieutenant Stedna in They Shoot Horses\,Composition,Filtering entity,Date
Which amplifiers did Dynaco release between 1963 and 1964?,A tube amplifier\,Simple,No skill,Person
When was Albert G. Porter the US ambassador to Italy?,Albert G. Porter was the US ambassador to Italy from 1889 to 1892.,Simple,Filtering time,Date
How much power can the CL 600 and the CL55 AMG engines produce?,Both the CL 600 and CL 55 AMG produced 500 PS (368 kW; 493 hp).,Simple,No skill,Person
Who coached the Nebraska Cornhuskers from 1896-1898\, and how did they do?,Simple,No skill,Person
Which country performed the best at Igman Olympic Jumps?,Finland performed the best at Igman Olympic Jumps\,Simple,Superlative,Person
In 1988\, what was the official value for the KJ-90 and the von Klitzing constants?,Simple,No skill,Person
How many extended plays has Triple H band released and what are their titles?,Triple H (band) released two extended plays\,Simple,Counting,Person
What are some of the films Temple appeared in between 2010 and 2011?,Matthew Temple is an actor who had roles the films 8213: Gacy House\,Intersection,Filtering time,Date
How did Pastrana's record braking time compare to the previous set records?,The current record is 5 minutes\,Simple,No skill,Person
What performance earned Sivaji Ganesan a best actor award at the Afro-Asian Film Festival in 1960?,Sivaji Ganesan's performance as Kattabomman earned him the Best Actor award at the Afro-Asian Film Festival held in 1960.,Simple,Superlative,Date
What was Marc Burns' best showing in the 100 m dash?,Marc Burns ran his fastest time of the 100 m event during the semifinal race\,Simple,Superlative,Person
Who controls Nevada's congressional representatives?,In the United States Congress the delegation has four members\,Simple,No skill,Person
What place did Lilacs Luck finish in the 1946 English Greyhound Derby?,In the 1946 English Greyhound Derby\,Simple,Filtering time,Date
What interstate routes run through Marlborough?,Marlborough is located at the intersection of Routes 495 and 290 in Massachusetts.,Simple,No skill,Person
What non-Australian swimmers have won the award more than once\, and in what years?,Simple,Comparative;Filtering numeric,Person
Which geographic regions comprise the Small Island Developing States?,Small Island Developing States are divided into three geographic regions: the Caribbean; the Pacific; and Africa\,Simple,No skill,Person
When and where were the first and two most recent International Botanical Congresses held?,The numbering system for the International Botanical Congress starts from the year 1900 with a congress in Paris; the XVIII IBC was held in Melbourne\,Composition,Superlative;Ordinal,Date
What is the Department\, Area\,Simple,No skill,Location
Who became Governor of Herat Province in September of 2010 and how did he obtain the position?,Daud Shah Saba served as Governor of Herat Province since 2010 when his predecessor Ahmad Yusuf Nuristani had resigned from the post.,Intersection,Filtering time,Date
How far from Terada does the Tateyama Line go?,The Tateyama Line connects Terada Station with Tateyama Station\,Simple,No skill,Person
What roles and when did Lenny Platt play in the project One Life to Live and Quantico?,Lenny Platt appeared as Nate Salinger in One Life to Live from 2010 to 2012 and as Drew Perales in Quantico in 2016.,Intersection,Filtering time,Date
What is the LDP's first electoral performance in 2007?,The LDP's first electoral performance was during the 2007 Serbian parliamentary election\,Simple,Ordinal,Date
How was Bangladesh dismissed in the match?,Bangladesh\,Simple,No skill,Unknown
What was the result of the 1990 Currie Cup final?,In the 1990 Currie Cup final\,Simple,Filtering time,Date
In what year and by whom was Pierre Schneiter replaced as President of the National Assembly?,André Le Troquer replaced Pierre Schneiter as President of the National Assembly in 1956.,Intersection,Filtering time,Date
What are the terminal stations for the Tozai Line?,Tōzai Line\,Simple,No skill,Unknown
How did the Kansas City Royals and Baltimore Orioles finish?,The Kansas City Royals finished 58-104 in the 2018 season\,Simple,Filtering time,Date
How did MCC perform against Queensland during their tour of Australia in 1962-63?,MCC scored 325/8 against Queensland.,Simple,No skill,Person
How did Joo perform in the 1988 Summer Olympics?,At the 1988 Summer Olympics\,Simple,Filtering time,Date
What year and on what album did Novoselic perform background vocals on the Foo Fighters' song Walking a Line?,In 2002\,Intersection,Filtering time,Date
Who were Miami’s opponents in the Tangerine Bowl and in what years?,In the two years\,Intersection,Filtering time,Person
What model of Mercedes has 2\,996 cubic centimetres of displacement?,Simple,No skill,Person
What are the five highest-rated horses and what are their ratings?,Arkle at 212\,Simple,Superlative,Person
What were the circumstances that gave Australia the victory during the 2005 ICC Super Series?,The World XI ended up being dismissed for 273\,Composition,No skill,Person
When was the RSA-640 project finished and what was the next project?,After RSA-640 was ended in November 2005\,Simple,Ordinal;Filtering time,Date
What are the power and engine discrepancies in the 3.0 L supercharged model?,In Range Rover (L405)\,Simple,No skill,Person
What type of car did Mark McLaughlin and Neil Crompton drive at the 1989 Australian Drivers' Championship?,Mark McLaughlin participated in Elfin FA891 and Neil Crompton in Ralt RT20.,Intersection,No skill,Person
Which locomotives became the property of Railion Denmark?,In 2001\,Simple,Filtering time,Date
What did Wyse play in 2001?,In 2001\,Simple,Filtering time,Date
Who were the kings of Athens in the Melanthid dynasty?,Melanthus became king of Athens\,Simple,No skill,Person
Which year did Koresh of Ezra became king of Persia\, and who created the title?,Simple,No skill,Person
What change happened in 2005 for the Australian ambassador to Indonesia?,In 2005\,Simple,Filtering time,Date
What awards was Danni Nichols nominated for in 2018?,Danni Nicholls was nominated for UK Artist of the Year Award at The Americana Music Association UK in 2018 and this was later followed by a nomination for Best Country/Folk Act for the 2018 Unsigned Music Awards.,Simple,Filtering time,Date
Who sang Unikan at the 2016 ABU Radio Song Festival in Maldives?,Bathool Ahmed sang Unikan at the 2016 ABU Radio Song Festival in Maldives.,Simple,Filtering time,Date
Which competitions did Seles win her first six Grand Slam singles finals?,Seles won her first six Grand Slam singles finals between 1990 and 1992: the 1990 French Open\,Simple,Ordinal,Date
Who tied in 4th place on The Top 10 of Juguemos a Cantar in 1982?,4th place was a tie between Las Vicuñitas (who performed a song by Sergio Andrade\,Simple,No skill,Person
How did the games with Morocco go in the 1994 FIFA World Cup?,Morocco\,Simple,Filtering entity,Unknown
When and which role did Amar Asyraf play in the television series Setia Hujung Nyawa?,Amar acted in Setia Hujung Nyawa as Zain Hakimi in 2012.,Intersection,Filtering time,Date
When was John Rogers the Mayor of Plymouth?,John Rogers was the Mayor of Plymouth for 1728-29 and 1743–44.,Simple,Filtering time,Date
What is Raagam Sreeragam?,Raagam Sreeragam is a 1990 Malayalam film.,Simple,Filtering time,Date
How much did Goans reject the merger by?,Goans rejected the merger by a vote of 172\,Simple,No skill,Person
Which unconstituted localities are located in the Baie-James region?,Beaucanton\,Simple,No skill,Unknown
What is the name of the department that provides fire protection for Fullerton California and what are the station addresses for Engine 4 and Engine 5?,For the Fullerton Fire Department\,Composition,No skill,Person
How jumboized was the tanker T3-S2-A3?,T3-S2-A3 tanker was jumboized extending the length from 553 to 644 feet\,Simple,No skill,Person
How large Banks Island\, both by area and by ranking?,Simple,No skill,Person
In the 1988 Hong Kong legislative election\, who were the candidates for the Medical constituency and how many votes did each candidate earn?,Simple,No skill,Person
What was the fastest game of the 2008 National League Championship Series?,The quickest game of the series was Game 1\,Simple,No skill,Person
What's the result of Rat Portage vs. Ottawa game?,Ottawa defeated the Rat Portage Thistles with 6–2\,Simple,No skill,Person
How did the passenger traffic change in the Sarajevo airport between 2012 and 2013?,In 2013\,Simple,Filtering time,Date
Who was the Australian Secretary of the Department of Veterans' Affairs between 2013 and 2018\, and what month did they take the position?,Intersection,No skill,Person
What did Jack Barlow achieve in the Mini Max?,George Russell won the Mini Max title in 2009.,Simple,Filtering time,Date
How did Braga do in the 2011–12 UEFA Europa League?,In the 2011–12 UEFA Europa League\,Simple,Filtering time,Date
How did Craig Mackinlay perform in general election from 2000 - 2010?,Mackinlay in UKIP\,Simple,No skill,Person
What awards did the film Qayamat Se Qayamat Tak win?,Qayamat Se Qayamat Tak won the National Film Award for Best Popular Film Providing Wholesome Entertainment\,Simple,No skill,Person
Which newspapers have an average circulation of between 400\,000 and 500\,Simple,Average,Number
How did the Steelers compare to the Cowboys in terms of total yards and first downs?,The Steelers had outgained the Cowboys in total yards\,Intersection,Aggregation;Ordinal,Person
What are the party affiliations of Florida's representatives?,Florida's congressional districts are represented in the Congress by 13 Democrats and 14 Republicans.,Simple,No skill,Person
How destructive was U-203 on 3 November?,On 3 November\,Simple,Filtering time,Date
What is the date\, venue\,Simple,Filtering time,Unknown
Who was the last king of Essex?,Sigered was the last king of Essex.,Simple,Ordinal,Person
What films did Rathnappa Madhesh appear in between 2003 and 20010?,Rathnappa Madhesh was cast in Madhurey in 2004 and in Vijayakanth's film Arasangam (2009).,Simple,Filtering time,Date
Where was Lake Bell nominated for Best First Screenplay\, in what year\,Simple,Superlative;Ordinal,Person
What is the result of SK Kilda vs. Collingwood match in 1962 VFL season?,St Kilda won the match in the 1962 VFL season against Collingwood at Victoria Park.,Simple,Filtering time,Date
What is the difference of RAM and storage between Nokia X and Nokia X+?,Two variants\,Simple,No skill,Person
Who were the directors of the film\, which Riaz played\,Simple,No skill,Person
How was the audience at the Portland Timbers–Seattle Sounders rivalry?,On October 7\,Simple,Filtering time,Date
What are the names of the two aircraft operated by Eastern Airlines?,The Eastern Airlines operates Boeing 767-200ERs and Boeing 767-300ERs.,Simple,No skill,Person
How did Bulgaria do in the 2017 Balkans Cup?,Bulgaria lost to Greece with a score of 68 - 8 and lost to Serbia with a score of 50 - 20 in the 2017 Balkans Cup.,Simple,Filtering time,Date
Which 1998 films did Thomas Newman score?,In 1998\,Simple,Filtering time,Date
How much did George Duncan lead by and who were the other people in the top four.,George Duncan led at 144\,Intersection,No skill,Person
When and where was Moss' album Sub Templum released on?,Moss´s album title of Sub Templum was released on Rise Above Records in 2008.,Intersection,Filtering time,Date
In what videos did Wood appear in 2005?,In 2005\,Simple,Filtering time,Date
What percent of voters turned out to pass the 1997 Hungarian NATO membership referendum?,1997 Hungarian NATO membership referendum was approved by 85.3% of voters\,Simple,Filtering time,Date
How many total appearances and goals did Hakan Şükür rack up while playing for the Turkey national team?,Şükür represented Turkey a total of 112 times\,Simple,Aggregation;Counting,Person
What is the population breakdown of minorities within the student body?,The student body was 16.4% Hispanic-American\,Simple,No skill,Person
How long ago did the IFFO1 gene in the Australian ghostshark diverge from humans?,The most distant ortholog was found to be in the Australian ghostshark\,Simple,No skill,Person
What does the Ap Lei Chau Estate consist?,The Ap Lei Chau Estate consists of 8 blocks providing 4\,Simple,No skill,Person
When did episodes 82 and 83 of My Little Television first air?,Episodes 82 and 83 (MLT-41) were broadcast on January 7 and 14\,Intersection,Ordinal,Date
Where were the games in Argentina played?,All the games in Argentina were played at Gimnasia y Esgrima de Buenos Aires.,Simple,No skill,Person
How did the Princeton Tigers perform against Michigan and Wichita State from 1964 to 1965?,In 1964–65\,Simple,Filtering time,Date
Which player costs the most in the 2000-01 Luton Town F.C. season?,Mark Ovendale from Bournemouth costs £425\,Simple,Superlative,Person
How many applications did University of Miami receive in 2018 and how much was the acceptance rate?,UM received a record 34\,Intersection,Counting,Person
What happened to the major league home run record after 1998?,In 1998\,Simple,Comparative;Filtering time,Date
How long did Nathaniel Parker play the role of Jack Weatherill in This House?,Nathaniel Parker played the role of Jack Weatherill in This House from 25.09.2016 to 29.10.2016 and from 19.11.2016 to 25.02.2017.,Simple,Filtering time,Date
When and where did Kim Robertson achiever her 51.60 record on the 400m?,In 1980\,Composition,Filtering time,Date
With what aircraft did Songbird Airways provide charter service?,The Songbird Airways provided charter service using Boeing aircrafts.,Simple,No skill,Person
What did Tatyana Lebedeva achieve in 2004?,In 2004\,Simple,Filtering time,Date
What did Aditi Govitrikar win in 1996\, 2000 and 2001?,Simple,Filtering time,Date
Who were the women's winners in 2001 and 2002?,Simmons won the 2001 award while Brenda Villa received the 2002 women's Cutino.,Simple,Filtering time,Date
Who are the President\, First Vice-President and Second Vice-President of the International Criminal Court?,Simple,No skill,Person
When did Forsyth Campbell make his debut for Scotland and what was the result of the match?,Campbell made his international debut for Scotland in a 1–0 win over England on 11 April 1964.,Intersection,Filtering time,Date
Who won the 1967 Isle of Man TT and what was their top speed?,MIke Hailwood won the 1967 Isle of Man TT with a top speed of 105.62 mph (169.98 km/h).,Simple,Filtering time,Date
What was the performance of Muskegon's Doris Sams Page in the season 1949?,In the season 1949\,Simple,Filtering time,Date
What was the income and expenses of the National Rifle Association's NRA-PVF in 2014 and did it increase or decrease?,By 2014\,Intersection,Filtering time,Date
Did Speedway Grand Prix of Denmark stay in the same city and stadium from 2015 to 2019?,After four years at the CASA Arena in Horsens between 2015 and 2018\,Intersection,Filtering time,Date
How is the iota symbol represented in Unicode\, both its capitalized and small forms?,Simple,No skill,Person
What were the victory records of Italy on 12 March 2011 and 3 February 2013?,Italy recorded their victory on 12 March 2011 with a 22–21 and on 3 February 2013 with a 23–18 score.,Intersection,Filtering time,Date
Did Michelle Kwan win any medals in 1998 and 2002?,Michelle Kwan is an Olympic medalist (silver in 1998\,Simple,Filtering time,Date
Which team is the winner of the 1922 Big Ten Conference football season?,The 1922 season ends in a tie: Iowa\,Simple,Filtering time,Date
When was Dudley Erwin a Government Whip?,Dudley Erwin was a Government Whip from 1967 to 1969.,Simple,Filtering time,Date
What were the final scores from each judge for the Manny Pacquiao vs. Timothy Bradley fight?,Judges Duane Ford and C. J. Ross scored the fight 115–113 in favor of Bradley\,Simple,No skill,Person
When and where was the event Ford 200 held?,The Ford 200 was held on November 20 at Homestead-Miami Speedway.,Intersection,Filtering time,Date
What are the changes happened to Belleville\, Dearborn\,Simple,No skill,Unknown
In the 1999 NCAA Rifle Championships\, how did the first team do compared to the second?,Simple,No skill,Person
What were the four most recent boats obtained by the Nigerian Navy?,The Ocea FPB 72 patrol boats\,Simple,Superlative,Person
Who are the shareholders of Air Greenland and which is the largest shareholder?,Air Greenland jointly owned by the SAS Group (37.5%)\,Intersection,Superlative,Person
When did Furlong appear as the character Shane Casey?,In 2006 and again in 2010\,Simple,Filtering time,Date
Who schools were the winner and runner up?,Hilton High School claimed the national crown from Saratoga Sprigns\,Simple,No skill,Person
What were Mili's songs in Coke Studio Season 2\, and who were they composed by?,Simple,No skill,Person
How many games did Ben O'Connor play in his career and when was his last game?,Ben O'Connor made a combined total of 114 National League and Championship appearances in a career that ended with his last game in 2012.,Intersection,Ordinal;Filtering time;Counting,Date
What roles has Laura played?,Emma Laura played Gabriela in Ángeles blancos\,Simple,No skill,Person
What rides did Hoffman's Playland open in the 1960s?,In 1962\,Simple,Filtering time,Date
What is the displacement and torque of the Ascari KZ1?,Displacement is 4\,Simple,No skill,Person
Who were the titleholders and their placements from 2014 and 2015?,Payne\,Simple,No skill,Unknown
Which production did Colella work in for which she won an award for in 2011?,In 2011\,Simple,Filtering time,Date
Which folios contained Hemming's Cartulary in the manuscript?,The section classified as Hemming's work folios were 119–142\,Simple,No skill,Person
Which sports can be held at Hamar Olympic Amphitheatre and Hamar Olympic Hall?,Hamar Olympic Hall had a capacity for 10\,Intersection,No skill,Person
What cities were the semi-finals and final of the 2009 Eurovision Song Contest held in?,The semi-finals of the Eurovision Song Contest 2009 were held in Kongsvinger\,Intersection,Filtering time,Date
What is the result of 2012 primary election for Mayor of Sacramento?,Kevin Johnson defeated other candidates with 58.74% of the votes.,Simple,No skill,Person
Which numbers are associated with BR?,BR has the numbers 90750-74.,Composition,Filtering entity,Person
How did Max Hall perform in 2017?,Hall made 3\,Simple,No skill,Person
What is the Greek version of the game show Wipeout?,The Greek version is called Risko aired on Mega Channel from 1995 until 1997\,Simple,Filtering time,Date
How much was the 6 year contract that James Lebron and Chris Bosh signed with the Miami Heat in the 2010-11 season?,In the 2010–11 season\,Composition,Filtering entity,Date
How was the 1916 Cumberland vs. Georgia Tech Football game?,The 1916 Cumberland vs. Georgia Tech football game was the most lopsided with Georgia Tech winning 222–0.,Simple,Filtering time,Date
In August of 1988 and August of 1990 what exact  action was taken by the UN and why?,A series of UN Security Council resolutions were passed regarding Iraq's invasion of Kuwait.,Intersection,No skill,Person
What turbofans does the Cessna CitationJet/M2 use\, and what is its maximum range?,Simple,No skill,Person
When did Steven Ma collaborate for A Journey Called Life\, and who with?,Simple,No skill,Person
Which sailing classes were chosen to be used in events at the 2002 ISAF World Sailing Games?,The selected classes were 470\,Simple,No skill,Person
Was the Phantom of the Opera one of the longest running West End musicals?,The Phantom of the Opera (1986 musical) is the third longest running West End musical\,Simple,Superlative,Date
When did James Sullivan serve as City Manager?,James Sullivan served as the City Manager of Cambridge\,Simple,No skill,Person
What were the results for Hamas and Fatah in the elections in 2006?,In terms of votes received\,Intersection,No skill,Person
During what years AD was the Fasti Potentini?,The Fasti Potentini consists of two sections\,Simple,No skill,Person
Where was Nils-Eric Johansson playing at during 1999-2000?,In 1999–00\,Simple,Filtering time,Date
What did Hippolyte Fizeau contribute to the measurement of the speed of light?,Hippolyte Fizeau determined the speed of light and reported a value of 315000.,Simple,No skill,Person
What is the World championship record for the event 200 metres for women?,The World championship record for the event 200 metres is 21.63 seconds for women\,Simple,No skill,Person
How many completed goals and total games did Nikolay Dimitrov earn over his career with Litex Lovech?,Nikolay Dimitrov had played 241 games for Litex\,Composition,Aggregation;Filtering entity;Counting,Person
How was the Confessional series released in October 1989?,The Confessional series were aired in four parts from 4 to 25 October 1989.,Simple,Filtering time,Date
How good is Barry Buccaneers in Men's tennis?,Barry Buccaneers won the Men's tennis at NCAA Championships three times\,Simple,No skill,Person
What was the total damage done by the Ernst Kals on other ships?,Ernst Kals sank 17 merchant ships for a total of 111\,Simple,Aggregation,Person
Who recieved the Knight's Cross of the Iron Cross?,Heer members\,Simple,No skill,Person
How many older universities exist based on year of establishment in Germany and what are they?,In Germany\,Intersection,Filtering time;Counting,Person
Which drivers with Williams-Honda qualified?,Mansell and Rosberg qualified with Williams-Honda cars,Simple,Filtering entity,Person
Which film did Ivan Luengo act in and was led by Roger Villarroya?,In 2015\,Intersection,Filtering time,Date
When did UCLA defeat Tennessee?,On September 12\,Simple,Filtering time,Date
How large is the Nilgiri Biosphere Reserve?,The Wildlife of Kerala has an area of 1455.4 km² in the Nilgiri Biosphere Reserve.,Simple,Filtering time,Date
What kind of engines and first-class seating are found on the Ilyushin Il-96 400?,Ilyushin Il-96 400 is powered by four Aviadvigatel PS-90A1 and can carry up to 436 first class passengers.,Intersection,No skill,Person
Who led all players 2006 Pro Bowl fan balloting\, by how many votes from the second position player and which team did he represent?,Simple,No skill,Person
